nickname,risk_profile,tech,energy_renewables,energy_fossil,healthcare,financials,real_estate,consumer,industrials,commodities,crypto,no_defense,no_tobacco,no_gambling,no_private_prisons,esg_preferred,us_only
emily_ware,2,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0
tina_hopkins,5,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0
jeffrey_stewart,3,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1,1
travis_brown,5,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0
michael_ray,5,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0
fred_conley,2,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,0
peter_davis,4,0,0,0,0,1,1,0,1,1,1,0,1,1,0,1,1
leah_flores,3,0,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0
william_robles,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0
peter_navarro,5,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1
william_tanner,4,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
tina_alvarado,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,1
lori_cooper,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
samuel_wright,4,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0
eric_hernandez,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1
justin_wolfe,3,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0
logan_morrison,3,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0
danielle_houston,4,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0
denise_dillon,2,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1
monique_atkinson,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1
erica_rogers,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0
jerry_hunt,4,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1
jennifer_moore,5,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1
Mamut-0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0
Mamut-1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0
Mamut-2,2,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0
Mamut-3,3,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0
Mamut-4,4,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0
Mamut-5,5,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0
